Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Transfer of Technology (TOT),Completed,High,4,Low,Low
Data Management and Storage,Completed,High,1,Low,Low
Certificate of Acceptance (CoA),In Progress,High,18,Medium,Medium
Inventory Management,To Do,Low,20,High,High
Data Services & Management,In Progress,Medium,3,Low,Medium
Reporting and Analytics,Completed,High,18,Medium,Low
Portal,In Progress,Medium,24,High,Medium
Training Management,To Do,Medium,7,Low,Low
Project Management Information System (PMIS),In Progress,Medium,26,High,Low
Human Resource Management (HRM),To Do,High,25,High,Medium
Payment Gateway Integration,Completed,Low,5,Low,Low
Inventory Management,In Progress,High,10,Medium,High
Certificate of Acceptance (CoA),Completed,Low,7,Low,Low
User Authentication and Access Control,In Progress,Low,25,High,Low
Communication and Collaboration Tools,In Progress,Medium,20,High,Medium
Transfer of Technology (TOT),Completed,Low,2,Low,Low
Portal,In Progress,Medium,24,High,High
Business Continuity Plan (BCP),In Progress,High,13,Medium,Low
Reporting and Analytics,To Do,Medium,8,Low,High
Change Management,To Do,High,29,High,Low
Project Management Information System (PMIS),Completed,High,16,Medium,Low
Management Plans,To Do,Low,29,High,Medium
Human Resource Management (HRM),To Do,High,14,Medium,Medium
Workflow Management,Completed,Low,4,Low,Low
Transfer of Technology (TOT),In Progress,Medium,19,Medium,Medium
Finalization and Integration,In Progress,Low,29,High,High
Office Renovation,In Progress,High,9,Low,High
Payment Gateway Integration,In Progress,Medium,22,High,Low
Payment Gateway Integration,Completed,High,12,Medium,Low
User Interface and User Experience (UI/UX),To Do,Medium,29,High,Medium
DevOps,In Progress,Low,3,Low,High
DevOps,Completed,Medium,22,High,Low
Project Management Information System (PMIS),Completed,Low,17,Medium,Low
Transfer of Technology (TOT),Completed,High,5,Low,Low
Payment Gateway Integration,In Progress,High,28,High,High
Change Management,Completed,High,21,High,Low
Data Services & Management,In Progress,Low,30,High,Low
Data Lake & Data Warehouse Operation,In Progress,High,22,High,Medium
Business Continuity Plan (BCP),Completed,Medium,20,High,Low
Monitoring & Control Reports,In Progress,High,12,Medium,High
Inventory Management,In Progress,Medium,22,High,High
Project Closure Report,Completed,Low,13,Medium,Low
Training Management,To Do,Low,29,High,Low
Notification System,To Do,High,11,Medium,Low
Data Services & Management,Completed,Medium,5,Low,Low
Audit and Compliance,To Do,Low,28,High,Low
Data Lake & Data Warehouse Operation,In Progress,Low,18,Medium,Low
Business Continuity Plan (BCP),In Progress,Low,26,High,Low
Project Closure Report,To Do,Low,19,Medium,Low
Finalization and Integration,To Do,High,28,High,High
User Authentication and Access Control,To Do,Low,10,Medium,Low
Customer Relationship Management (CRM),In Progress,Low,18,Medium,Low
Transfer of Knowledge (TOK),To Do,High,6,Low,High
Certificate of Acceptance (CoA),To Do,Low,18,Medium,Low
Portal,Completed,Low,6,Low,Low
Business Continuity Plan (BCP),In Progress,High,26,High,Low
Management Plans,In Progress,High,20,High,High
Management Plans,Completed,High,18,Medium,Low
Training Management,To Do,Low,14,Medium,Low
Transfer of Knowledge (TOK),Completed,High,13,Medium,Low
Communication and Collaboration Tools,In Progress,High,11,Medium,Medium
Inventory Management,To Do,Medium,21,High,High
Portal Learning Management System (LMS),To Do,Low,9,Low,Low
Communication and Collaboration Tools,To Do,High,25,High,High
Workflow Management,In Progress,High,28,High,Medium
Project Management Information System (PMIS),In Progress,Medium,30,High,Low
Training Management,Completed,Medium,27,High,Low
Project Closure Report,To Do,High,17,Medium,Low
Contract Documentation,In Progress,High,16,Medium,Low
Customer Relationship Management (CRM),In Progress,Medium,10,Medium,Medium
Project Closure Report,Completed,Low,21,High,Low
Portal,In Progress,Low,30,High,High
Data Lake & Data Warehouse Operation,Completed,High,5,Low,Low
Project Management Information System (PMIS),Completed,Low,8,Low,Low
Management Plans,Completed,Low,4,Low,Low
Inventory Management,In Progress,Medium,2,Low,Medium
Contract Documentation,In Progress,High,12,Medium,Low
Portal Learning Management System (LMS),To Do,High,25,High,Low
DevOps,Completed,Low,14,Medium,Low
Data Lake & Data Warehouse Operation,To Do,Low,30,High,High
Communication and Collaboration Tools,Completed,Medium,10,Medium,Low
Transfer of Technology (TOT),In Progress,Medium,11,Medium,Medium
Office Renovation,In Progress,High,4,Low,High
Contract Documentation,Completed,Low,19,Medium,Low
User Authentication and Access Control,In Progress,Medium,12,Medium,Medium
Customer Relationship Management (CRM),To Do,Medium,5,Low,Low
Contract Documentation,In Progress,Low,30,High,Low
Audit and Compliance,To Do,High,27,High,Low
Contract Documentation,In Progress,Low,25,High,Low
Business Continuity Plan (BCP),Completed,Low,26,High,Low
User Authentication and Access Control,To Do,High,8,Low,High
Communication and Collaboration Tools,To Do,Low,19,Medium,Low
Transfer of Knowledge (TOK),Completed,High,21,High,Low
Certificate of Acceptance (CoA),Completed,High,18,Medium,Low
Contract Documentation,In Progress,High,17,Medium,Low
Audit and Compliance,To Do,Low,20,High,Low
Finalization and Integration,Completed,Medium,30,High,Low
Data Management and Storage,In Progress,Medium,7,Low,Low
Contract Documentation,Completed,Medium,24,High,Low
Reporting and Analytics,To Do,High,1,Low,High
Transfer of Knowledge (TOK),To Do,High,17,Medium,Low
Finalization and Integration,Completed,Low,25,High,Low
User Interface and User Experience (UI/UX),Completed,Medium,24,High,Low
Enterprise Architecture (EA),To Do,Low,18,Medium,Low
Office Renovation,To Do,Low,10,Medium,Low
Inventory Management,Completed,Low,27,High,Low
Audit and Compliance,In Progress,Medium,7,Low,Low
Certificate of Acceptance (CoA),Completed,Medium,20,High,Low
Data Lake & Data Warehouse Operation,Completed,High,4,Low,Low
Portal,To Do,High,27,High,Medium
Project Management,To Do,Medium,18,Medium,Medium
Human Resource Management (HRM),To Do,Medium,21,High,Low
User Interface and User Experience (UI/UX),In Progress,Medium,30,High,High
Communication and Collaboration Tools,To Do,High,21,High,Low
Change Management,In Progress,Low,20,High,Low
Customer Relationship Management (CRM),Completed,Low,27,High,Low
Office Renovation,To Do,Medium,3,Low,Low
Human Resource Management (HRM),Completed,Medium,26,High,Low
Finalization and Integration,In Progress,Medium,21,High,Medium
Data Services & Management,Completed,High,12,Medium,Low
Transfer of Technology (TOT),Completed,High,8,Low,Low
Certificate of Acceptance (CoA),Completed,Low,30,High,Low
Project Management,In Progress,High,16,Medium,High
Enterprise Architecture (EA),In Progress,High,9,Low,High
Reporting and Analytics,In Progress,Low,6,Low,Low
Audit and Compliance,In Progress,Medium,14,Medium,Medium
Data Management and Storage,In Progress,High,4,Low,High
Office Renovation,To Do,High,24,High,Low
Communication and Collaboration Tools,To Do,Low,27,High,Low
Contract Documentation,To Do,High,3,Low,High
Finalization and Integration,In Progress,Low,23,High,Low
Data Services & Management,To Do,Low,7,Low,Low
Notification System,In Progress,High,21,High,High
Office Renovation,To Do,High,6,Low,High
Finalization and Integration,Completed,Low,2,Low,Low
Project Management Information System (PMIS),To Do,Medium,4,Low,Low
Notification System,To Do,Medium,15,Medium,Medium
Human Resource Management (HRM),To Do,High,29,High,High
Transfer of Knowledge (TOK),In Progress,Low,9,Low,Low
Certificate of Acceptance (CoA),To Do,Low,19,Medium,Medium
Workflow Management,To Do,Low,17,Medium,Medium
Business Continuity Plan (BCP),Completed,High,14,Medium,Low
Management Plans,In Progress,Medium,4,Low,Medium
Training Management,In Progress,High,7,Low,High
Transfer of Knowledge (TOK),In Progress,Medium,7,Low,High
Portal Learning Management System (LMS),To Do,Low,12,Medium,Low
Transfer of Technology (TOT),In Progress,High,10,Medium,Low
Finalization and Integration,In Progress,Medium,21,High,High
Inventory Management,In Progress,High,20,High,Low
Certificate of Acceptance (CoA),In Progress,High,21,High,High
Inventory Management,In Progress,Low,29,High,High
Project Management,Completed,Low,3,Low,Low
Portal Learning Management System (LMS),Completed,Low,15,Medium,Low
Data Management and Storage,In Progress,High,22,High,Medium
Project Management,Completed,Low,1,Low,Low
Monitoring & Control Reports,Completed,High,3,Low,Low
Portal Learning Management System (LMS),To Do,Medium,1,Low,Low
Portal Learning Management System (LMS),In Progress,Medium,7,Low,Low
Data Management and Storage,Completed,High,18,Medium,Low
Contract Documentation,To Do,High,19,Medium,Low
Data Services & Management,To Do,Low,6,Low,Low
Transfer of Technology (TOT),To Do,Low,15,Medium,Low
Notification System,To Do,Low,21,High,High
Certificate of Acceptance (CoA),Completed,Low,28,High,Low
Portal,To Do,Low,26,High,High
Project Closure Report,In Progress,Medium,7,Low,Low
Business Continuity Plan (BCP),Completed,Low,11,Medium,Low
User Interface and User Experience (UI/UX),To Do,Medium,19,Medium,Medium
Management Plans,To Do,Low,19,Medium,Low
Inventory Management,To Do,Medium,10,Medium,Medium
Training Management,In Progress,Low,8,Low,Low
Human Resource Management (HRM),In Progress,Low,2,Low,Medium
Data Lake & Data Warehouse Operation,In Progress,High,16,Medium,High
Workflow Management,In Progress,Low,9,Low,High
Monitoring & Control Reports,To Do,Low,11,Medium,Low
Portal Learning Management System (LMS),Completed,Medium,16,Medium,Low
Payment Gateway Integration,Completed,High,13,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,19,Medium,High
Monitoring & Control Reports,In Progress,High,6,Low,High
Finalization and Integration,In Progress,Medium,2,Low,High
Enterprise Architecture (EA),Completed,Medium,22,High,Low
Data Management and Storage,Completed,High,1,Low,Low
Notification System,In Progress,Medium,21,High,High
Project Closure Report,Completed,High,14,Medium,Low
Data Services & Management,Completed,High,1,Low,Low
Payment Gateway Integration,Completed,Low,17,Medium,Low
Project Management,Completed,Medium,9,Low,Low
DevOps,In Progress,Medium,7,Low,Medium
User Authentication and Access Control,Completed,Medium,21,High,Low
Data Management and Storage,In Progress,Medium,3,Low,High
Notification System,To Do,Low,25,High,Low
Finalization and Integration,To Do,High,2,Low,High
Audit and Compliance,To Do,Medium,11,Medium,Medium
Monitoring & Control Reports,Completed,Low,12,Medium,Low
Data Lake & Data Warehouse Operation,In Progress,Low,25,High,Medium
Training Management,In Progress,Medium,20,High,Low
Data Management and Storage,Completed,High,8,Low,Low
DevOps,In Progress,High,24,High,High
Reporting and Analytics,To Do,Low,7,Low,High
Portal,To Do,Low,8,Low,Low
Monitoring & Control Reports,Completed,Medium,13,Medium,Low
Business Continuity Plan (BCP),Completed,Medium,10,Medium,Low
Data Services & Management,To Do,Medium,1,Low,High
Transfer of Knowledge (TOK),To Do,High,4,Low,High
Payment Gateway Integration,In Progress,Low,21,High,Low
Monitoring & Control Reports,To Do,Low,5,Low,High
Management Plans,To Do,High,9,Low,High
Audit and Compliance,Completed,Low,17,Medium,Low
Business Continuity Plan (BCP),Completed,Low,1,Low,Low
Data Lake & Data Warehouse Operation,Completed,Medium,20,High,Low
Enterprise Architecture (EA),Completed,Low,10,Medium,Low
Data Lake & Data Warehouse Operation,To Do,Low,17,Medium,High
Data Lake & Data Warehouse Operation,Completed,Low,23,High,Low
Business Continuity Plan (BCP),Completed,Low,24,High,Low
Portal,In Progress,Low,26,High,High
Office Renovation,In Progress,Medium,30,High,Low
Reporting and Analytics,To Do,High,13,Medium,Low
User Authentication and Access Control,In Progress,Low,5,Low,High
Transfer of Knowledge (TOK),To Do,Low,16,Medium,High
Project Management Information System (PMIS),Completed,Medium,12,Medium,Low
Data Services & Management,In Progress,High,8,Low,High
Monitoring & Control Reports,Completed,Medium,14,Medium,Low
Project Management,To Do,High,27,High,Medium
Communication and Collaboration Tools,In Progress,Medium,11,Medium,Medium
Human Resource Management (HRM),In Progress,High,17,Medium,Medium
User Interface and User Experience (UI/UX),To Do,Low,26,High,Low
Customer Relationship Management (CRM),To Do,Low,11,Medium,Medium
Enterprise Architecture (EA),To Do,High,12,Medium,Low
Inventory Management,Completed,Medium,23,High,Low
Workflow Management,Completed,Low,21,High,Low
Transfer of Technology (TOT),In Progress,Medium,10,Medium,Medium
Transfer of Knowledge (TOK),In Progress,High,15,Medium,Medium
Portal Learning Management System (LMS),To Do,High,15,Medium,Low
DevOps,To Do,Low,21,High,Low
Contract Documentation,In Progress,High,12,Medium,Low
Management Plans,Completed,Low,20,High,Low
Inventory Management,To Do,High,14,Medium,Low
DevOps,To Do,High,17,Medium,Low
Data Services & Management,In Progress,Medium,6,Low,Medium
User Interface and User Experience (UI/UX),To Do,Medium,18,Medium,Medium
Enterprise Architecture (EA),In Progress,Medium,20,High,High
Certificate of Acceptance (CoA),Completed,Medium,13,Medium,Low
Office Renovation,Completed,Medium,22,High,Low
Data Services & Management,In Progress,High,30,High,Medium
Monitoring & Control Reports,In Progress,Low,16,Medium,Low
Transfer of Knowledge (TOK),Completed,Low,23,High,Low
Monitoring & Control Reports,In Progress,Medium,28,High,High
Office Renovation,To Do,Low,23,High,Low
Certificate of Acceptance (CoA),In Progress,Medium,29,High,Low
Payment Gateway Integration,To Do,High,8,Low,High
Workflow Management,To Do,High,21,High,High
Project Management,In Progress,Low,22,High,High
Notification System,In Progress,Low,20,High,High
Management Plans,In Progress,Low,9,Low,Low
Inventory Management,Completed,Medium,15,Medium,Low
Inventory Management,Completed,High,6,Low,Low
Portal,Completed,Low,1,Low,Low
Project Closure Report,Completed,Low,20,High,Low
Contract Documentation,Completed,Low,1,Low,Low
Communication and Collaboration Tools,In Progress,Low,14,Medium,High
Management Plans,To Do,Medium,13,Medium,Medium
Office Renovation,To Do,High,25,High,Low
Portal Learning Management System (LMS),To Do,High,30,High,Low
Change Management,To Do,Medium,28,High,Low
Transfer of Knowledge (TOK),In Progress,Medium,11,Medium,Medium
Project Management,In Progress,Low,21,High,Medium
Project Management Information System (PMIS),To Do,Medium,16,Medium,Medium
Audit and Compliance,In Progress,Medium,9,Low,Low
Notification System,To Do,Medium,7,Low,High
Data Lake & Data Warehouse Operation,Completed,High,25,High,Low
User Authentication and Access Control,In Progress,Medium,3,Low,Low
Management Plans,To Do,Low,1,Low,Medium
Portal,In Progress,High,17,Medium,Medium
Data Management and Storage,Completed,Low,4,Low,Low
Project Management,Completed,High,14,Medium,Low
Workflow Management,To Do,Low,28,High,High
Monitoring & Control Reports,In Progress,High,26,High,Low
