Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class
User Authentication and Access Control,In Progress,Low,1,Low
Project Management,To Do,Low,8,Low
Office Renovation,To Do,Low,19,Medium
Business Continuity Plan (BCP),In Progress,High,7,Low
Monitoring & Control Reports,To Do,Low,25,High
Reporting and Analytics,Completed,High,12,Medium
Notification System,To Do,High,16,Medium
Data Services & Management,Completed,Medium,18,Medium
Data Lake & Data Warehouse Operation,To Do,High,14,Medium
Audit and Compliance,Completed,Low,10,Medium
Office Renovation,To Do,Low,6,Low
Data Services & Management,Completed,Medium,4,Low
Change Management,To Do,Medium,26,High
Monitoring & Control Reports,To Do,High,22,High
Customer Relationship Management (CRM),Completed,High,19,Medium
User Interface and User Experience (UI/UX),To Do,Low,6,Low
Enterprise Architecture (EA),To Do,High,4,Low
Finalization and Integration,In Progress,High,8,Low
Reporting and Analytics,In Progress,High,11,Medium
User Interface and User Experience (UI/UX),To Do,Low,2,Low
Data Management and Storage,To Do,Low,29,High
Data Services & Management,In Progress,Low,15,Medium
Audit and Compliance,Completed,High,29,High
Payment Gateway Integration,Completed,Medium,8,Low
Data Management and Storage,Completed,Low,23,High
Finalization and Integration,To Do,Low,14,Medium
Reporting and Analytics,To Do,Medium,28,High
Project Closure Report,To Do,Low,16,Medium
Audit and Compliance,To Do,High,8,Low
Transfer of Technology (TOT),In Progress,Medium,9,Low
DevOps,In Progress,Low,6,Low
Monitoring & Control Reports,To Do,High,19,Medium
Enterprise Architecture (EA),In Progress,Low,22,High
Portal Learning Management System (LMS),In Progress,Low,7,Low
Data Lake & Data Warehouse Operation,To Do,Low,5,Low
Project Management Information System (PMIS),Completed,Medium,26,High
Certificate of Acceptance (CoA),In Progress,Low,15,Medium
Audit and Compliance,In Progress,High,12,Medium
Training Management,To Do,High,8,Low
Audit and Compliance,Completed,Low,18,Medium
Project Management Information System (PMIS),In Progress,Low,30,High
Customer Relationship Management (CRM),To Do,Medium,8,Low
Management Plans,To Do,Low,6,Low
Transfer of Knowledge (TOK),Completed,High,22,High
Project Management Information System (PMIS),To Do,Low,15,Medium
User Interface and User Experience (UI/UX),In Progress,Low,2,Low
Customer Relationship Management (CRM),In Progress,Low,23,High
Data Management and Storage,Completed,High,19,Medium
Project Management Information System (PMIS),To Do,Low,12,Medium
User Authentication and Access Control,In Progress,Medium,2,Low
Office Renovation,In Progress,Low,9,Low
Inventory Management,In Progress,High,29,High
Enterprise Architecture (EA),Completed,Low,18,Medium
Data Lake & Data Warehouse Operation,Completed,High,7,Low
Data Lake & Data Warehouse Operation,Completed,Medium,8,Low
DevOps,To Do,Low,17,Medium
Reporting and Analytics,Completed,Low,20,High
Finalization and Integration,Completed,High,25,High
Transfer of Technology (TOT),To Do,Medium,4,Low
Enterprise Architecture (EA),Completed,High,23,High
Training Management,To Do,Medium,24,High
Contract Documentation,To Do,Medium,4,Low
Project Closure Report,Completed,Medium,17,Medium
User Authentication and Access Control,In Progress,Low,7,Low
Data Services & Management,In Progress,Low,8,Low
Communication and Collaboration Tools,In Progress,Medium,3,Low
Payment Gateway Integration,In Progress,Low,8,Low
Training Management,In Progress,Low,10,Medium
Business Continuity Plan (BCP),In Progress,Medium,1,Low
Management Plans,Completed,High,16,Medium
Portal Learning Management System (LMS),To Do,Medium,30,High
Workflow Management,Completed,Low,2,Low
Monitoring & Control Reports,In Progress,Medium,10,Medium
Project Management Information System (PMIS),Completed,High,4,Low
Transfer of Technology (TOT),To Do,Medium,11,Medium
Customer Relationship Management (CRM),In Progress,Medium,16,Medium
User Interface and User Experience (UI/UX),To Do,Medium,17,Medium
DevOps,To Do,High,13,Medium
Human Resource Management (HRM),In Progress,Medium,2,Low
Transfer of Knowledge (TOK),To Do,Medium,28,High
Certificate of Acceptance (CoA),In Progress,Low,25,High
Finalization and Integration,To Do,Medium,21,High
Human Resource Management (HRM),Completed,High,6,Low
Enterprise Architecture (EA),Completed,Low,25,High
Office Renovation,To Do,Low,1,Low
Enterprise Architecture (EA),In Progress,High,25,High
Inventory Management,Completed,Medium,14,Medium
Certificate of Acceptance (CoA),To Do,Low,13,Medium
Reporting and Analytics,In Progress,Medium,23,High
Data Lake & Data Warehouse Operation,Completed,Medium,13,Medium
Audit and Compliance,In Progress,Low,2,Low
Management Plans,In Progress,High,1,Low
DevOps,Completed,Low,28,High
Portal,Completed,Medium,15,Medium
Project Management Information System (PMIS),To Do,High,5,Low
Transfer of Knowledge (TOK),In Progress,Medium,25,High
Business Continuity Plan (BCP),In Progress,Medium,7,Low
Project Management Information System (PMIS),Completed,Low,2,Low
Data Management and Storage,In Progress,High,1,Low
Communication and Collaboration Tools,To Do,High,20,High
Transfer of Technology (TOT),Completed,Low,7,Low
User Interface and User Experience (UI/UX),In Progress,High,20,High
Project Management,To Do,Medium,24,High
Customer Relationship Management (CRM),In Progress,High,1,Low
Training Management,To Do,Medium,16,Medium
User Authentication and Access Control,Completed,High,3,Low
DevOps,To Do,Medium,5,Low
Data Lake & Data Warehouse Operation,In Progress,Low,1,Low
Transfer of Knowledge (TOK),Completed,Medium,26,High
Human Resource Management (HRM),In Progress,Low,11,Medium
DevOps,In Progress,Low,24,High
Data Lake & Data Warehouse Operation,Completed,Low,29,High
Reporting and Analytics,Completed,High,24,High
Finalization and Integration,In Progress,High,22,High
Transfer of Knowledge (TOK),In Progress,Medium,24,High
Office Renovation,To Do,Low,19,Medium
Data Management and Storage,Completed,Low,26,High
Training Management,Completed,High,20,High
Project Closure Report,To Do,Medium,17,Medium
Project Management,Completed,Low,15,Medium
Office Renovation,In Progress,High,21,High
Customer Relationship Management (CRM),Completed,Medium,4,Low
Training Management,Completed,Low,25,High
Customer Relationship Management (CRM),In Progress,Medium,13,Medium
Monitoring & Control Reports,To Do,High,23,High
Project Closure Report,To Do,High,20,High
Customer Relationship Management (CRM),Completed,Medium,24,High
Change Management,In Progress,Medium,19,Medium
Portal Learning Management System (LMS),To Do,Medium,28,High
Human Resource Management (HRM),Completed,High,25,High
Change Management,In Progress,High,28,High
Reporting and Analytics,Completed,Medium,5,Low
Transfer of Technology (TOT),In Progress,Medium,5,Low
Contract Documentation,To Do,Medium,13,Medium
Workflow Management,To Do,High,7,Low
Data Services & Management,Completed,Medium,26,High
Portal,Completed,High,29,High
Data Services & Management,Completed,Low,10,Medium
Management Plans,To Do,High,1,Low
Payment Gateway Integration,Completed,Medium,17,Medium
Audit and Compliance,In Progress,High,25,High
Data Lake & Data Warehouse Operation,In Progress,Medium,18,Medium
Management Plans,Completed,High,20,High
Project Management Information System (PMIS),In Progress,High,3,Low
Human Resource Management (HRM),Completed,Low,19,Medium
Transfer of Technology (TOT),In Progress,High,30,High
Communication and Collaboration Tools,In Progress,Medium,30,High
Contract Documentation,Completed,High,18,Medium
DevOps,To Do,High,23,High
Reporting and Analytics,Completed,High,29,High
Payment Gateway Integration,To Do,Low,27,High
Notification System,To Do,High,11,Medium
Training Management,To Do,Low,18,Medium
Certificate of Acceptance (CoA),In Progress,High,6,Low
Data Services & Management,Completed,High,21,High
Communication and Collaboration Tools,To Do,Medium,20,High
Management Plans,Completed,High,3,Low
Project Closure Report,Completed,Medium,29,High
Customer Relationship Management (CRM),Completed,Low,16,Medium
Finalization and Integration,To Do,Medium,6,Low
Change Management,Completed,Medium,1,Low
Reporting and Analytics,Completed,Low,25,High
Training Management,Completed,Medium,20,High
Transfer of Technology (TOT),In Progress,Low,16,Medium
Data Services & Management,Completed,High,14,Medium
Transfer of Knowledge (TOK),In Progress,Low,16,Medium
Workflow Management,In Progress,Medium,18,Medium
Transfer of Technology (TOT),Completed,Medium,7,Low
Training Management,Completed,High,21,High
Notification System,Completed,High,11,Medium
Project Closure Report,Completed,Low,19,Medium
Monitoring & Control Reports,Completed,High,27,High
Payment Gateway Integration,Completed,High,22,High
User Authentication and Access Control,To Do,Low,27,High
Enterprise Architecture (EA),In Progress,Medium,5,Low
Enterprise Architecture (EA),Completed,Low,8,Low
Project Management Information System (PMIS),Completed,Medium,27,High
Portal Learning Management System (LMS),Completed,High,13,Medium
Training Management,To Do,Low,25,High
Portal Learning Management System (LMS),In Progress,High,24,High
Workflow Management,In Progress,High,10,Medium
Project Management,To Do,High,29,High
Project Management Information System (PMIS),In Progress,Medium,26,High
Project Management,To Do,Medium,25,High
Human Resource Management (HRM),To Do,High,9,Low
Transfer of Technology (TOT),In Progress,Low,21,High
Project Management Information System (PMIS),In Progress,Low,18,Medium
DevOps,To Do,High,28,High
Portal,To Do,Medium,23,High
Contract Documentation,Completed,Low,27,High
DevOps,Completed,Low,28,High
Management Plans,Completed,Low,3,Low
Human Resource Management (HRM),In Progress,Low,26,High
Portal,Completed,Low,10,Medium
Inventory Management,In Progress,Medium,25,High
Customer Relationship Management (CRM),To Do,Medium,27,High
Transfer of Technology (TOT),In Progress,High,5,Low
Management Plans,Completed,Medium,7,Low
DevOps,To Do,High,18,Medium
Management Plans,Completed,Low,7,Low
Inventory Management,Completed,High,16,Medium
Customer Relationship Management (CRM),To Do,Low,6,Low
Data Management and Storage,Completed,High,11,Medium
Inventory Management,In Progress,Low,17,Medium
Data Management and Storage,Completed,Low,23,High
Certificate of Acceptance (CoA),To Do,Medium,12,Medium
Training Management,Completed,Low,8,Low
Transfer of Knowledge (TOK),In Progress,Low,18,Medium
Data Services & Management,In Progress,Low,2,Low
User Interface and User Experience (UI/UX),To Do,High,18,Medium
Data Management and Storage,To Do,High,17,Medium
Audit and Compliance,To Do,High,4,Low
Certificate of Acceptance (CoA),Completed,High,4,Low
Workflow Management,To Do,Medium,19,Medium
Project Management,To Do,High,25,High
Human Resource Management (HRM),In Progress,High,28,High
Monitoring & Control Reports,In Progress,Low,19,Medium
Payment Gateway Integration,Completed,Low,18,Medium
Workflow Management,Completed,Medium,12,Medium
Project Closure Report,To Do,Low,29,High
Workflow Management,Completed,Low,29,High
Business Continuity Plan (BCP),In Progress,Low,27,High
Reporting and Analytics,In Progress,Low,10,Medium
Transfer of Knowledge (TOK),In Progress,Low,10,Medium
Communication and Collaboration Tools,To Do,Medium,14,Medium
Transfer of Knowledge (TOK),In Progress,High,18,Medium
Notification System,Completed,Low,18,Medium
Notification System,In Progress,High,17,Medium
Inventory Management,In Progress,Medium,10,Medium
Workflow Management,Completed,Low,6,Low
Payment Gateway Integration,In Progress,Low,17,Medium
Payment Gateway Integration,In Progress,High,19,Medium
Monitoring & Control Reports,To Do,High,18,Medium
Human Resource Management (HRM),Completed,Low,21,High
Finalization and Integration,To Do,Low,23,High
Customer Relationship Management (CRM),To Do,High,2,Low
Human Resource Management (HRM),In Progress,High,14,Medium
Office Renovation,To Do,Low,30,High
Portal Learning Management System (LMS),Completed,Medium,11,Medium
Monitoring & Control Reports,To Do,Low,18,Medium
User Authentication and Access Control,In Progress,Low,15,Medium
Certificate of Acceptance (CoA),To Do,Low,6,Low
Certificate of Acceptance (CoA),In Progress,Low,9,Low
Transfer of Technology (TOT),In Progress,High,7,Low
Communication and Collaboration Tools,Completed,Low,10,Medium
Monitoring & Control Reports,In Progress,High,12,Medium
Business Continuity Plan (BCP),In Progress,Low,26,High
Training Management,To Do,High,22,High
Transfer of Technology (TOT),In Progress,Low,1,Low
Project Management Information System (PMIS),In Progress,Medium,8,Low
Transfer of Knowledge (TOK),In Progress,Low,17,Medium
Project Management,In Progress,Medium,21,High
Data Lake & Data Warehouse Operation,In Progress,High,10,Medium
Project Closure Report,To Do,High,11,Medium
Notification System,To Do,Low,16,Medium
Contract Documentation,In Progress,Low,25,High
DevOps,In Progress,High,4,Low
Transfer of Technology (TOT),Completed,Medium,28,High
Certificate of Acceptance (CoA),To Do,Low,2,Low
Audit and Compliance,To Do,Low,16,Medium
Inventory Management,To Do,Low,30,High
Audit and Compliance,In Progress,Medium,4,Low
Data Management and Storage,In Progress,High,29,High
Data Management and Storage,Completed,High,23,High
Management Plans,To Do,High,14,Medium
Payment Gateway Integration,To Do,Low,12,Medium
Customer Relationship Management (CRM),In Progress,High,25,High
Inventory Management,Completed,Low,28,High
Data Services & Management,To Do,Low,13,Medium
Business Continuity Plan (BCP),Completed,High,29,High
Notification System,In Progress,High,28,High
Project Closure Report,Completed,High,17,Medium
Project Management Information System (PMIS),To Do,High,15,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,20,High
Customer Relationship Management (CRM),To Do,High,8,Low
Change Management,To Do,High,9,Low
Management Plans,Completed,High,10,Medium
Training Management,Completed,Medium,19,Medium
Monitoring & Control Reports,Completed,Low,4,Low
