Task_Type,Current_Status,Business_Impact,Days_to_Deadline,Deadline_Class,Priority
Data Management and Storage,Completed,High,19,Medium,Low
Project Management Information System (PMIS),To Do,Low,12,Medium,Medium
User Authentication and Access Control,In Progress,Medium,2,Low,Medium
Office Renovation,In Progress,Low,9,Low,Low
Inventory Management,In Progress,High,29,High,High
Enterprise Architecture (EA),Completed,Low,18,Medium,Low
Data Lake & Data Warehouse Operation,Completed,High,7,Low,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,8,Low,Medium
DevOps,To Do,Low,17,Medium,Medium
Reporting and Analytics,Completed,Low,20,High,Low
Finalization and Integration,Completed,High,25,High,Medium
Transfer of Technology (TOT),To Do,Medium,4,Low,Low
Enterprise Architecture (EA),Completed,High,23,High,Low
Training Management,To Do,Medium,24,High,Low
Contract Documentation,To Do,Medium,4,Low,Low
Project Closure Report,Completed,Medium,17,Medium,Low
User Authentication and Access Control,In Progress,Low,7,Low,Medium
Data Services & Management,In Progress,Low,8,Low,Medium
Communication and Collaboration Tools,In Progress,Medium,3,Low,Medium
Payment Gateway Integration,In Progress,Low,8,Low,Medium
Training Management,In Progress,Low,10,Medium,Medium
Business Continuity Plan (BCP),In Progress,Medium,1,Low,Low
Management Plans,Completed,High,16,Medium,Low
Portal Learning Management System (LMS),To Do,Medium,30,High,Medium
Workflow Management,Completed,Low,2,Low,Low
Monitoring & Control Reports,In Progress,Medium,10,Medium,Medium
Project Management Information System (PMIS),Completed,High,4,Low,Low
Transfer of Technology (TOT),To Do,Medium,11,Medium,Low
Customer Relationship Management (CRM),In Progress,Medium,16,Medium,High
User Interface and User Experience (UI/UX),To Do,Medium,17,Medium,Medium
DevOps,To Do,High,13,Medium,Medium
Human Resource Management (HRM),In Progress,Medium,2,Low,Medium
Transfer of Knowledge (TOK),To Do,Medium,28,High,Low
Certificate of Acceptance (CoA),In Progress,Low,25,High,Medium
Finalization and Integration,To Do,Medium,21,High,Medium
Human Resource Management (HRM),Completed,High,6,Low,Low
Enterprise Architecture (EA),Completed,Low,25,High,Low
Office Renovation,To Do,Low,1,Low,Low
Enterprise Architecture (EA),In Progress,High,25,High,Medium
Inventory Management,Completed,Medium,14,Medium,Low
Certificate of Acceptance (CoA),To Do,Low,13,Medium,Low
Reporting and Analytics,In Progress,Medium,23,High,Medium
Data Lake & Data Warehouse Operation,Completed,Medium,13,Medium,Medium
Audit and Compliance,In Progress,Low,2,Low,Medium
Management Plans,In Progress,High,1,Low,Low
DevOps,Completed,Low,28,High,Low
Portal,Completed,Medium,15,Medium,Low
Project Management Information System (PMIS),To Do,High,5,Low,Medium
Transfer of Knowledge (TOK),In Progress,Medium,25,High,Medium
Business Continuity Plan (BCP),In Progress,Medium,7,Low,Low
Project Management Information System (PMIS),Completed,Low,2,Low,Low
Data Management and Storage,In Progress,High,1,Low,Medium
Communication and Collaboration Tools,To Do,High,20,High,High
Transfer of Technology (TOT),Completed,Low,7,Low,Low
User Interface and User Experience (UI/UX),In Progress,High,20,High,High
Project Management,To Do,Medium,24,High,Medium
Customer Relationship Management (CRM),In Progress,High,1,Low,Medium
Training Management,To Do,Medium,16,Medium,Low
User Authentication and Access Control,Completed,High,3,Low,Medium
DevOps,To Do,Medium,5,Low,Medium
Data Lake & Data Warehouse Operation,In Progress,Low,1,Low,Medium
Transfer of Knowledge (TOK),Completed,Medium,26,High,Low
Human Resource Management (HRM),In Progress,Low,11,Medium,Medium
DevOps,In Progress,Low,24,High,Medium
Data Lake & Data Warehouse Operation,Completed,Low,29,High,Medium
Reporting and Analytics,Completed,High,24,High,Medium
Finalization and Integration,In Progress,High,22,High,High
Transfer of Knowledge (TOK),In Progress,Medium,24,High,Medium
Office Renovation,To Do,Low,19,Medium,Low
Data Management and Storage,Completed,Low,26,High,Low
Training Management,Completed,High,20,High,Low
Project Closure Report,To Do,Medium,17,Medium,Low
Project Management,Completed,Low,15,Medium,Low
Office Renovation,In Progress,High,21,High,Medium
Customer Relationship Management (CRM),Completed,Medium,4,Low,Low
Training Management,Completed,Low,25,High,Low
Customer Relationship Management (CRM),In Progress,Medium,13,Medium,High
Monitoring & Control Reports,To Do,High,23,High,High
Project Closure Report,To Do,High,20,High,Medium
Customer Relationship Management (CRM),Completed,Medium,24,High,Medium
Change Management,In Progress,Medium,19,Medium,Low
Portal Learning Management System (LMS),To Do,Medium,28,High,Medium
Human Resource Management (HRM),Completed,High,25,High,Medium
Change Management,In Progress,High,28,High,Medium
Reporting and Analytics,Completed,Medium,5,Low,Low
Transfer of Technology (TOT),In Progress,Medium,5,Low,Medium
Contract Documentation,To Do,Medium,13,Medium,Low
Workflow Management,To Do,High,7,Low,Medium
Data Services & Management,Completed,Medium,26,High,Low
Portal,Completed,High,29,High,Medium
Data Services & Management,Completed,Low,10,Medium,Low
Management Plans,To Do,High,1,Low,Low
Payment Gateway Integration,Completed,Medium,17,Medium,Medium
Audit and Compliance,In Progress,High,25,High,Medium
Data Lake & Data Warehouse Operation,In Progress,Medium,18,Medium,Medium
Management Plans,Completed,High,20,High,Medium
Project Management Information System (PMIS),In Progress,High,3,Low,Medium
Human Resource Management (HRM),Completed,Low,19,Medium,Low
Transfer of Technology (TOT),In Progress,High,30,High,Medium
Communication and Collaboration Tools,In Progress,Medium,30,High,High
Contract Documentation,Completed,High,18,Medium,Low
DevOps,To Do,High,23,High,High
Reporting and Analytics,Completed,High,29,High,Medium
Payment Gateway Integration,To Do,Low,27,High,Medium
Notification System,To Do,High,11,Medium,Low
Training Management,To Do,Low,18,Medium,Low
Certificate of Acceptance (CoA),In Progress,High,6,Low,Low
Data Services & Management,Completed,High,21,High,Medium
Communication and Collaboration Tools,To Do,Medium,20,High,Medium
Management Plans,Completed,High,3,Low,Low
Project Closure Report,Completed,Medium,29,High,Low
Customer Relationship Management (CRM),Completed,Low,16,Medium,Low
Finalization and Integration,To Do,Medium,6,Low,Medium
Change Management,Completed,Medium,1,Low,Low
Reporting and Analytics,Completed,Low,25,High,Low
Training Management,Completed,Medium,20,High,Low
Transfer of Technology (TOT),In Progress,Low,16,Medium,Medium
Data Services & Management,Completed,High,14,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,16,Medium,Medium
Workflow Management,In Progress,Medium,18,Medium,Medium
Transfer of Technology (TOT),Completed,Medium,7,Low,Low
Training Management,Completed,High,21,High,Low
Notification System,Completed,High,11,Medium,Low
Project Closure Report,Completed,Low,19,Medium,Low
Monitoring & Control Reports,Completed,High,27,High,Low
Payment Gateway Integration,Completed,High,22,High,High
User Authentication and Access Control,To Do,Low,27,High,Medium
Enterprise Architecture (EA),In Progress,Medium,5,Low,Low
Enterprise Architecture (EA),Completed,Low,8,Low,Low
Project Management Information System (PMIS),Completed,Medium,27,High,Low
Portal Learning Management System (LMS),Completed,High,13,Medium,Low
Training Management,To Do,Low,25,High,Low
Portal Learning Management System (LMS),In Progress,High,24,High,High
Workflow Management,In Progress,High,10,Medium,Medium
Project Management,To Do,High,29,High,Medium
Project Management Information System (PMIS),In Progress,Medium,26,High,Medium
Project Management,To Do,Medium,25,High,Medium
Human Resource Management (HRM),To Do,High,9,Low,Medium
Transfer of Technology (TOT),In Progress,Low,21,High,Medium
Project Management Information System (PMIS),In Progress,Low,18,Medium,Medium
DevOps,To Do,High,28,High,High
Portal,To Do,Medium,23,High,Medium
Contract Documentation,Completed,Low,27,High,Low
DevOps,Completed,Low,28,High,Low
Management Plans,Completed,Low,3,Low,Low
Human Resource Management (HRM),In Progress,Low,26,High,Medium
Portal,Completed,Low,10,Medium,Low
Inventory Management,In Progress,Medium,25,High,Medium
Customer Relationship Management (CRM),To Do,Medium,27,High,Medium
Transfer of Technology (TOT),In Progress,High,5,Low,Medium
Management Plans,Completed,Medium,7,Low,Low
DevOps,To Do,High,18,Medium,Medium
Management Plans,Completed,Low,7,Low,Low
Inventory Management,Completed,High,16,Medium,Low
Customer Relationship Management (CRM),To Do,Low,6,Low,Medium
Data Management and Storage,Completed,High,11,Medium,Low
Inventory Management,In Progress,Low,17,Medium,Medium
Data Management and Storage,Completed,Low,23,High,Low
Certificate of Acceptance (CoA),To Do,Medium,12,Medium,Low
Training Management,Completed,Low,8,Low,Low
Transfer of Knowledge (TOK),In Progress,Low,18,Medium,Medium
Data Services & Management,In Progress,Low,2,Low,Medium
User Interface and User Experience (UI/UX),To Do,High,18,Medium,Medium
Data Management and Storage,To Do,High,17,Medium,Medium
Audit and Compliance,To Do,High,4,Low,Low
Certificate of Acceptance (CoA),Completed,High,4,Low,Low
Workflow Management,To Do,Medium,19,Medium,Medium
Project Management,To Do,High,25,High,Medium
Human Resource Management (HRM),In Progress,High,28,High,High
Monitoring & Control Reports,In Progress,Low,19,Medium,Medium
Payment Gateway Integration,Completed,Low,18,Medium,Medium
Workflow Management,Completed,Medium,12,Medium,Low
Project Closure Report,To Do,Low,29,High,Low
Workflow Management,Completed,Low,29,High,Low
Business Continuity Plan (BCP),In Progress,Low,27,High,Medium
Reporting and Analytics,In Progress,Low,10,Medium,Medium
Transfer of Knowledge (TOK),In Progress,Low,10,Medium,Medium
Communication and Collaboration Tools,To Do,Medium,14,Medium,Medium
Transfer of Knowledge (TOK),In Progress,High,18,Medium,Medium
Notification System,Completed,Low,18,Medium,Low
Notification System,In Progress,High,17,Medium,Low
Inventory Management,In Progress,Medium,10,Medium,Medium
Workflow Management,Completed,Low,6,Low,Low
Payment Gateway Integration,In Progress,Low,17,Medium,Medium
Payment Gateway Integration,In Progress,High,19,Medium,Medium
Monitoring & Control Reports,To Do,High,18,Medium,Medium
Human Resource Management (HRM),Completed,Low,21,High,Low
Finalization and Integration,To Do,Low,23,High,Medium
Customer Relationship Management (CRM),To Do,High,2,Low,Medium
Human Resource Management (HRM),In Progress,High,14,Medium,Medium
Office Renovation,To Do,Low,30,High,Low
Portal Learning Management System (LMS),Completed,Medium,11,Medium,Low
Monitoring & Control Reports,To Do,Low,18,Medium,Medium
User Authentication and Access Control,In Progress,Low,15,Medium,Medium
Certificate of Acceptance (CoA),To Do,Low,6,Low,Low
Certificate of Acceptance (CoA),In Progress,Low,9,Low,Low
Transfer of Technology (TOT),In Progress,High,7,Low,Medium
Communication and Collaboration Tools,Completed,Low,10,Medium,Low
Monitoring & Control Reports,In Progress,High,12,Medium,Medium
Business Continuity Plan (BCP),In Progress,Low,26,High,Medium
Training Management,To Do,High,22,High,Medium
Transfer of Technology (TOT),In Progress,Low,1,Low,Low
Project Management Information System (PMIS),In Progress,Medium,8,Low,Medium
Transfer of Knowledge (TOK),In Progress,Low,17,Medium,Medium
Project Management,In Progress,Medium,21,High,Medium
Data Lake & Data Warehouse Operation,In Progress,High,10,Medium,Medium
Project Closure Report,To Do,High,11,Medium,Low
Notification System,To Do,Low,16,Medium,Low
Contract Documentation,In Progress,Low,25,High,Medium
DevOps,In Progress,High,4,Low,Medium
Transfer of Technology (TOT),Completed,Medium,28,High,Low
Certificate of Acceptance (CoA),To Do,Low,2,Low,Low
Audit and Compliance,To Do,Low,16,Medium,Low
Inventory Management,To Do,Low,30,High,Medium
Audit and Compliance,In Progress,Medium,4,Low,Medium
Data Management and Storage,In Progress,High,29,High,High
Data Management and Storage,Completed,High,23,High,Medium
Management Plans,To Do,High,14,Medium,Low
Payment Gateway Integration,To Do,Low,12,Medium,Medium
Customer Relationship Management (CRM),In Progress,High,25,High,High
Inventory Management,Completed,Low,28,High,Low
Data Services & Management,To Do,Low,13,Medium,Medium
Business Continuity Plan (BCP),Completed,High,29,High,Low
Notification System,In Progress,High,28,High,Medium
Project Closure Report,Completed,High,17,Medium,Low
Project Management Information System (PMIS),To Do,High,15,Medium,Medium
User Interface and User Experience (UI/UX),In Progress,Medium,20,High,Medium
Customer Relationship Management (CRM),To Do,High,8,Low,Medium
Change Management,To Do,High,9,Low,Low
Management Plans,Completed,High,10,Medium,Low
Training Management,Completed,Medium,19,Medium,Low
Monitoring & Control Reports,Completed,Low,4,Low,High
User Authentication and Access Control,To Do,High,29,High,High
Notification System,To Do,Medium,28,High,Low
Data Services & Management,Completed,High,16,Medium,Low
Notification System,In Progress,High,26,High,Medium
Finalization and Integration,To Do,Low,11,Medium,Medium
Change Management,Completed,Low,19,Medium,Low
Office Renovation,Completed,High,21,High,Low
Project Management Information System (PMIS),To Do,High,15,Medium,Medium
Notification System,In Progress,Medium,7,Low,Low
Portal Learning Management System (LMS),Completed,High,3,Low,Low
Human Resource Management (HRM),In Progress,Medium,9,Low,Medium
Certificate of Acceptance (CoA),To Do,Medium,29,High,Medium
Certificate of Acceptance (CoA),To Do,Medium,20,High,Medium
Certificate of Acceptance (CoA),Completed,Medium,11,Medium,Low
Transfer of Knowledge (TOK),In Progress,Low,15,Medium,Medium
Training Management,To Do,Medium,27,High,Low
Contract Documentation,Completed,Low,8,Low,Low
Enterprise Architecture (EA),To Do,Medium,3,Low,Low
Business Continuity Plan (BCP),Completed,Low,22,High,Low
Project Management Information System (PMIS),Completed,Low,3,Low,Low
Monitoring & Control Reports,In Progress,Low,6,Low,Low
Notification System,To Do,Low,8,Low,Low
User Authentication and Access Control,In Progress,Low,22,High,Medium
Enterprise Architecture (EA),Completed,Medium,16,Medium,Low
Monitoring & Control Reports,Completed,Medium,18,Medium,Medium
Project Closure Report,In Progress,High,11,Medium,Low
Data Management and Storage,In Progress,Medium,4,Low,Medium
Human Resource Management (HRM),Completed,High,16,Medium,Low
Project Management,Completed,Medium,7,Low,Low
Payment Gateway Integration,In Progress,High,14,Medium,Medium
Notification System,Completed,Low,17,Medium,Low
Monitoring & Control Reports,Completed,High,20,High,Medium
Data Management and Storage,In Progress,High,29,High,Medium
Portal Learning Management System (LMS),To Do,High,28,High,High
Project Management Information System (PMIS),In Progress,High,14,Medium,Medium
Workflow Management,To Do,Low,14,Medium,Medium
User Authentication and Access Control,To Do,Low,14,Medium,Medium
Portal,To Do,High,12,Medium,Medium
Contract Documentation,To Do,High,8,Low,Low
Portal Learning Management System (LMS),In Progress,Low,21,High,Medium
Project Management Information System (PMIS),Completed,Low,19,Medium,Low
